algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Bubble Sort,Serial,1,1000,INVERTIDA,0.5415,0.5264,0.5661,1.0,1.0,true
Insertion Sort,Serial,1,1000,INVERTIDA,0.07855999999999999,0.0772,0.0799,1.0,1.0,true
Quick Sort,Serial,1,1000,INVERTIDA,0.19124000000000002,0.1872,0.1989,1.0,1.0,true
Merge Sort,Serial,1,1000,INVERTIDA,0.02408,0.0186,0.0351,1.0,1.0,true
Bubble Sort,Paralelo,1,1000,INVERTIDA,0.53404,0.5103,0.5588,1.01396899108681,1.01396899108681,true
Bubble Sort,Paralelo,2,1000,INVERTIDA,0.38146,0.2965,0.464,1.4195459550149425,0.7097729775074713,true
Bubble Sort,Paralelo,4,1000,INVERTIDA,0.30254,0.2524,0.411,1.7898459707807233,0.4474614926951808,true
Bubble Sort,Paralelo,8,1000,INVERTIDA,0.57558,0.4633,0.6465,0.9407901594912957,0.11759876993641197,true
Insertion Sort,Paralelo,1,1000,INVERTIDA,0.08204,0.0806,0.0845,0.9575816674792783,0.9575816674792783,true
Insertion Sort,Paralelo,2,1000,INVERTIDA,0.26868,0.1864,0.4131,0.29239243709989576,0.14619621854994788,true
Insertion Sort,Paralelo,4,1000,INVERTIDA,0.28564,0.2158,0.351,0.2750315081921299,0.06875787704803248,true
Insertion Sort,Paralelo,8,1000,INVERTIDA,1.0034199999999998,0.3917,2.8299,0.07829224053736224,0.00978653006717028,true
Quick Sort,Paralelo,1,1000,INVERTIDA,0.44245999999999996,0.3738,0.5474,0.43221986168241205,0.43221986168241205,true
Quick Sort,Paralelo,2,1000,INVERTIDA,0.38028,0.3547,0.4055,0.5028926054486168,0.2514463027243084,true
Quick Sort,Paralelo,4,1000,INVERTIDA,0.4695600000000001,0.3701,0.6992,0.40727489564698865,0.10181872391174716,true
Quick Sort,Paralelo,8,1000,INVERTIDA,0.38584,0.3654,0.4045,0.4956458635703919,0.06195573294629899,true
Merge Sort,Paralelo,1,1000,INVERTIDA,0.21505999999999997,0.1855,0.3038,0.11196875290616574,0.11196875290616574,true
Merge Sort,Paralelo,2,1000,INVERTIDA,0.23368000000000003,0.1766,0.3761,0.1030469017459774,0.0515234508729887,true
Merge Sort,Paralelo,4,1000,INVERTIDA,0.19296,0.1777,0.2242,0.12479270315091212,0.03119817578772803,true
Merge Sort,Paralelo,8,1000,INVERTIDA,0.17221999999999998,0.1516,0.1954,0.13982115898269656,0.01747764487283707,true
Bubble Sort,Serial,1,5000,INVERTIDA,13.49672,13.1768,13.7427,1.0,1.0,true
Insertion Sort,Serial,1,5000,INVERTIDA,1.70738,1.6612,1.752,1.0,1.0,true
Quick Sort,Serial,1,5000,INVERTIDA,4.6230400000000005,4.3245,4.8315,1.0,1.0,true
Merge Sort,Serial,1,5000,INVERTIDA,0.10939999999999998,0.1017,0.128,1.0,1.0,true
Bubble Sort,Paralelo,1,5000,INVERTIDA,13.5441,13.4459,13.7081,0.9965017978307897,0.9965017978307897,true
Bubble Sort,Paralelo,2,5000,INVERTIDA,3.87102,3.7654,3.9831,3.4866055974911005,1.7433027987455503,true
Bubble Sort,Paralelo,4,5000,INVERTIDA,1.1622999999999999,1.0935,1.2159,11.612079497547967,2.9030198743869917,true
Bubble Sort,Paralelo,8,5000,INVERTIDA,0.87782,0.7801,0.9801,15.375270556606138,1.9219088195757672,true
Insertion Sort,Paralelo,1,5000,INVERTIDA,1.7721,1.7154,1.8081,0.9634783590090852,0.9634783590090852,true
Insertion Sort,Paralelo,2,5000,INVERTIDA,0.7987400000000001,0.7296,0.8864,2.1375917069384274,1.0687958534692137,true
Insertion Sort,Paralelo,4,5000,INVERTIDA,0.43994,0.3687,0.6196,3.8809383097695136,0.9702345774423784,true
Insertion Sort,Paralelo,8,5000,INVERTIDA,1.1502199999999998,0.5579,2.9042,1.4843942897880407,0.18554928622350508,true
Quick Sort,Paralelo,1,5000,INVERTIDA,5.33768,4.881,6.2475,0.8661141169946495,0.8661141169946495,true
Quick Sort,Paralelo,2,5000,INVERTIDA,5.00242,4.8064,5.2839,0.9241607062181905,0.46208035310909523,true
Quick Sort,Paralelo,4,5000,INVERTIDA,4.9097,4.7617,5.0742,0.941613540542192,0.235403385135548,true
Quick Sort,Paralelo,8,5000,INVERTIDA,5.02928,4.7136,5.3953,0.9192250182928771,0.11490312728660963,true
Merge Sort,Paralelo,1,5000,INVERTIDA,0.28334,0.2226,0.4552,0.38610856215147876,0.38610856215147876,true
Merge Sort,Paralelo,2,5000,INVERTIDA,0.25207999999999997,0.2157,0.2835,0.4339892097746747,0.21699460488733735,true
Merge Sort,Paralelo,4,5000,INVERTIDA,0.2613,0.2312,0.2912,0.41867585151167236,0.10466896287791809,true
Merge Sort,Paralelo,8,5000,INVERTIDA,0.30218,0.2705,0.3501,0.3620358726586802,0.045254484082335025,true
